🇨🇳| 央视,#genre#
重庆卫视,https://i.125011.xyz/migu.php?id=cqws
重庆卫视,http://36.129.204.120:880/CCN144.m3u8
重庆卫视,http://13457610200.8866.org:2018/live/重庆高清3/index.m3u8
重庆卫视,http://13457610200.8866.org:2018/live/重庆卫视HD/index.m3u8
重庆卫视,http://caiyehe.7766.org:9901/tsfile/live/1133_1.m3u8
重庆卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=cqws$r7d 8M FHD
东南卫视,http://36.129.204.120:880/CCN149.m3u8
东南卫视,http://13457610200.8866.org:2018/live/东南卫视高清/index.m3u8
东南卫视,http://caiyehe.7766.org:9901/tsfile/live/1029_1.m3u8
东南卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=dnws$r7d 8M FHD
吉林卫视,https://i.125011.xyz/migu.php?id=jlws
吉林卫视,http://36.129.204.120:880/DX17.m3u8
吉林卫视,http://13457610200.8866.org:2018/live/吉林卫视HD/index.m3u8
吉林卫视,http://caiyehe.7766.org:9901/tsfile/live/0116_1.m3u8
吉林卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=jlws$r7d 8M FHD
海南卫视,https://i.125011.xyz/hnntv.php?id=hd
海南卫视,https://i.125011.xyz/migu.php?id=hinws
海南卫视,http://36.129.204.120:880/DXHNGS.m3u8
海南卫视,https://i.125011.xyz/hnntv.php?id=ws
海南卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hainan$r7d 8M FHD
云南卫视,http://36.129.204.120:880/CCN128.m3u8
云南卫视,http://caiyehe.7766.org:9901/tsfile/live/1111_1.m3u8
云南卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=ynws$r7d 8M FHD
厦门卫视,http://36.129.204.120:880/DX61.m3u8
厦门卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=xmws$r7d 1.3M SD
河南卫视,https://i.125011.xyz/hndx.php?id=hnws
河南卫视,http://36.129.204.120:880/DXHNWSs.m3u8
河南卫视,http://13457610200.8866.org:2018/live/河南卫视HD/index.m3u8
河南卫视,http://caiyehe.7766.org:9901/tsfile/live/1125_1.m3u8
河南卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hnws$r7d 8M FHD
河北卫视,http://36.129.204.120:880/DXHBW.m3u8
河北卫视,http://13457610200.8866.org:2018/live/河北卫视高清/index.m3u8
河北卫视,http://caiyehe.7766.org:9901/tsfile/live/1049_1.m3u8
河北卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=hbws$r7d 8M FHD
陕西卫视,http://36.129.204.120:880/SXWS.m3u8
陕西卫视,http://13457610200.8866.org:2018/live/陕西卫视/index.m3u8
陕西卫视,http://caiyehe.7766.org:9901/tsfile/live/1134_1.m3u8
陕西卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=sxws$r7d 1.3M SD
山西卫视,http://36.129.204.120:880/CCN131.m3u8
山西卫视,http://13457610200.8866.org:2018/live/山西卫视HD/index.m3u8
山西卫视,http://caiyehe.7766.org:9901/tsfile/live/1131_1.m3u8
山西卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=shanxi$r7d 1.3M SD
甘肃卫视,https://i.125011.xyz/migu.php?id=gsws
甘肃卫视,http://36.129.204.120:880/CCN139.m3u8
甘肃卫视,http://13457610200.8866.org:2018/live/江苏卫视hd/index.m3u8
甘肃卫视,http://caiyehe.7766.org:9901/tsfile/live/1063_1.m3u8
甘肃卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=gsws$r7d 8M FHD
宁夏卫视,https://i.125011.xyz/migu.php?id=nxws
宁夏卫视,http://36.129.204.120:880/DXNXWS.m3u8
宁夏卫视,http://caiyehe.7766.org:9901/tsfile/live/1137_1.m3u8
宁夏卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=nxws$r7d 1.3M SD
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,https://i.125011.xyz/migu.php?id=qhws
青海卫视,http://36.129.204.120:880/CCN146.m3u8
青海卫视,http://caiyehe.7766.org:9901/tsfile/live/1135_1.m3u8
青海卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=qhws$r7d 1.3M SD
西藏卫视,https://i.125011.xyz/migu.php?id=xzws
西藏卫视,http://36.129.204.120:880/dxxz.m3u8
西藏卫视,http://13457610200.8866.org:2018/live/西藏卫视HD/index.m3u8
西藏卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=xzws$r7d 2.5M SD
新疆卫视,https://i.125011.xyz/migu.php?id=xjws
新疆卫视,http://36.129.204.120:880/CCN145.m3u8
新疆卫视,http://13457610200.8866.org:2018/live/新疆卫视HD/index.m3u8
新疆卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=xjws$r7d 1.3M SD
内蒙古卫视,https://i.125011.xyz/migu.php?id=nmws
内蒙古卫视,http://36.129.204.120:880/CCN135.m3u8
内蒙古卫视,http://caiyehe.7766.org:9901/tsfile/live/1136_1.m3u8
内蒙古卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=nmgws$r7d 1.3M SD
大湾区卫视,https://i.125011.xyz/migu.php?id=dwqws
大湾区卫视,http://13457610200.8866.org:2018/live/南方卫视HD/index.m3u8
大湾区卫视,http://caiyehe.7766.org:9901/tsfile/live/1044_1.m3u8
大湾区卫视,http://caiyehe.7766.org:9901/tsfile/live/1149_1.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8?$官源 HD
三沙卫视,https://i.125011.xyz/hnntv.php?id=ss
三沙卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=ssws$r7d 8M FHD
农林卫视,http://36.129.204.120:880/DX50.m3u8
农林卫视,http://caiyehe.7766.org:9901/tsfile/live/1141_1.m3u8
延边卫视,https://live.125011.xyz/PLTV/ybtv/231205/ybws/index.m3u8$r1d 官源 HD
延边卫视,http://36.129.204.120:880/CCN45.m3u8
兵团卫视,http://36.129.204.120:880/DX51.m3u8
兵团卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=btws$r7d 1.3M SD
山东教育卫视,https://i.125011.xyz/migu.php?id=sdjy
山东教育卫视,http://36.129.204.120:880/CCN161.m3u8
康巴卫视,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=kbws$r7d 2.5M SD
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
🐇| 动画,#genre#
卡酷少儿,http://36.129.204.120:880/dx92.m3u8
卡酷少儿,http://13457610200.8866.org:2018/live/卡酷少儿/index.m3u8
卡酷少儿,http://caiyehe.7766.org:9901/tsfile/live/1105_1.m3u8
卡酷少儿,https://i.125011.xyz/PLTV/live1.php?ip=rand&id=kkse$r7d 8M FHD
金鹰卡通,http://36.129.204.120:880/DX27.m3u8
金鹰卡通,http://13457610200.8866.org:2018/live/金鹰卡通/index.m3u8
金鹰卡通,http://caiyehe.7766.org:9901/tsfile/live/1106_1.m3u8
